"Name","Team","PA","AB","1B","2B","3B","HR","R","RBI","SB","BB%","K%","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","playerid"
"Austin Hays","BAL","582","535","81","35","2","16","66","60","2","5.8%","19.6%",".289",".250",".306",".413",".314","105","1.5","19363"
"Jonathan India","CIN","431","386","68","16","2","10","48","41","3","7.2%","21.8%",".305",".249",".327",".378",".314","95","0.4","21523"
"Connor Joe","COL","467","404","65","20","4","7","56","28","6","11.8%","20.8%",".296",".238",".338",".359",".314","87","0.0","16572"
"Luis Rengifo","LAA","511","489","86","22","4","17","45","52","6","3.3%","15.5%",".285",".264",".294",".429",".314","103","1.6","19858"
"Ramon Urias","BAL","445","403","66","17","1","16","50","51","1","6.7%","22.0%",".287",".248",".305",".414",".313","104","2.6","18795"
"Eric Hosmer","- - -","419","380","75","19","0","8","38","44","0","8.8%","15.3%",".304",".268",".334",".382",".313","104","0.3","3516"
"Ha-seong Kim","SDP","582","517","87","29","3","11","58","59","12","8.8%","17.2%",".290",".251",".325",".383",".313","105","3.7","27506"
"Jesse Winker","SEA","547","456","71","15","0","14","51","53","0","15.4%","18.8%",".251",".219",".344",".344",".313","108","0.4","13590"
"Wilmer Flores","SFG","602","525","72","28","1","19","72","71","0","9.8%","17.1%",".246",".229",".316",".394",".312","103","1.4","5827"
"Trey Mancini","- - -","587","519","82","23","1","18","56","63","0","9.0%","23.0%",".286",".239",".319",".391",".312","104","0.9","15149"
"Christian Vazquez","- - -","426","398","77","23","0","9","41","52","1","5.2%","16.2%",".310",".274",".315",".399",".312","99","1.6","9774"
"Jose Iglesias","COL","467","439","95","30","0","3","48","47","2","3.6%","12.0%",".326",".292",".328",".380",".312","85","1.0","10231"
"Luke Voit","- - -","568","500","69","22","0","22","55","69","1","9.7%","31.5%",".298",".226",".308",".402",".311","102","0.2","14811"
"Eduardo Escobar","NYM","542","495","69","26","4","20","58","69","0","7.4%","23.8%",".281",".240",".295",".430",".311","106","2.3","6153"
"Amed Rosario","CLE","670","637","134","26","9","11","85","71","18","3.7%","16.6%",".326",".283",".312",".403",".311","103","2.4","15518"
"Bobby Witt Jr.","KCR","632","591","93","31","6","20","82","80","30","4.7%","21.4%",".295",".254",".294",".428",".311","99","2.3","25764"
"MJ Melendez","KCR","534","460","58","21","3","18","57","62","2","12.4%","24.5%",".258",".217",".313",".393",".310","99","-0.2","22197"
"Elvis Andrus","- - -","577","535","84","32","0","17","66","58","18","6.8%","15.9%",".272",".249",".303",".404",".310","105","3.5","8709"
"Alec Bohm","PHI","631","586","124","24","3","13","79","72","2","4.9%","17.4%",".319",".280",".315",".398",".310","98","1.5","21618"
"Jeremy Pena","HOU","558","521","88","20","2","22","72","63","11","3.9%","24.2%",".298",".253",".289",".426",".309","102","3.4","21636"
"Andrew McCutchen","MIL","580","515","80","25","0","17","66","69","8","9.8%","21.4%",".278",".237",".316",".384",".309","98","0.3","9847"
"Kyle Farmer","CIN","583","526","94","25","1","14","58","78","4","5.7%","17.0%",".286",".255",".315",".386",".309","91","1.4","14813"
"Carlos Santana","- - -","506","431","50","18","0","19","52","60","0","14.0%","17.4%",".209",".202",".316",".376",".308","102","1.0","2396"
"Gavin Sheets","CHW","410","377","57","19","0","15","34","53","0","6.6%","21.0%",".272",".241",".295",".411",".308","100","0.1","19901"
"Lane Thomas","WSN","548","498","75","26","2","17","62","52","8","7.5%","24.1%",".291",".241",".301",".404",".308","96","1.1","16939"
"Ben Gamel","PIT","423","371","55","20","2","9","42","46","5","11.3%","23.2%",".291",".232",".324",".369",".308","97","0.0","12160"
"Mike Yastrzemski","SFG","558","485","54","31","2","17","73","57","5","10.9%","25.3%",".261",".214",".305",".392",".307","99","2.2","14854"
"Dylan Carlson","STL","488","432","60","30","4","8","56","42","5","9.2%","19.3%",".281",".236",".316",".380",".306","100","2.4","20126"
